team,attack,defence,strength
Kenya,1.187249987317332,-0.5850379963528236,1.7722879836701555
Latvia,1.044847757918774,-0.7253694942693257,1.7702172521880999
Estonia,1.1300392471751888,-0.6315288530122216,1.7615681001874104
Sudan,0.9381136430463191,-0.8139489926626572,1.7520626357089761
Azerbaijan,1.0682336640660055,-0.6806382096122917,1.748871873678297
Suriname,1.0766937714876361,-0.6696547517881427,1.746348523275779
Thailand,1.164760003173673,-0.569165967552622,1.733925970726295
Curaçao,1.0663430904987645,-0.6497779851328614,1.716121075631626
Malawi,0.9771913196837901,-0.7266574956015505,1.7038488152853406
Lithuania,0.971424069636121,-0.7125924822771533,1.6840165519132744
Namibia,1.0307432291895766,-0.6464608247682038,1.6772040539577804
Kyrgyzstan,1.2128772656778815,-0.46193421939539625,1.6748114850732776
Liberia,1.0408802661808476,-0.5890718679084065,1.6299521340892542
Ethiopia,1.0799898531990704,-0.5426616950861735,1.6226515482852437
Tajikistan,0.8927391293128044,-0.7226029128730224,1.6153420421858269
Burundi,0.9903200048572645,-0.6131061516998544,1.6034261565571188
Guinea-Bissau,0.8437179040341004,-0.7544862863249412,1.5982041903590416
Mauritania,0.8069788176430625,-0.7722618980996837,1.5792407157427462
Kuwait,1.0968612426622604,-0.47740929973544655,1.574270542397707
Vietnam,1.0398091857814253,-0.46368972312277756,1.503498908904203
Central African Republic,1.2084324066788048,-0.28982311546204087,1.4982555221408456
Lesotho,0.8497949751975594,-0.6381729748829141,1.4879679500804737
Indonesia,1.1068612184002244,-0.37994324706073046,1.486804465460955
Lebanon,0.7532270038864575,-0.7175786463916257,1.4708056502780833
Botswana,0.9021938793489177,-0.56490416054488235,1.4670980398938
Malta,0.8604455787479128,-0.5758837552537472,1.43632933400166
Moldova,0.9924140592940105,-0.426175276637059,1.4185893359310695
Dominican Republic,1.0597621652213725,-0.3327253050506489,1.3924874702720214
Malaysia,1.004229285121786,-0.3261692062572975,1.3303984913790834
Congo,0.9530053458984974,-0.3625193532192415,1.315524699117739
Trinidad and Tobago,1.0120259215466407,-0.27792216925982904,1.2899480908064698
Eswatini,0.9437699165743482,-0.3246238362630287,1.268393752837377
Nicaragua,0.7662139985619921,-0.4516223849881478,1.2178363835501398
El Salvador,0.6033059676694761,-0.6085570935856272,1.2118630612551033
Martinique,0.9061754083923937,-0.2661130716174422,1.1722884800098359
Guadeloupe,0.9767053875023572,-0.1871391912641586,1.163844578766516
Yemen,1.053616427962054,-0.07641595129390429,1.1300323792559581
Turkmenistan,0.8382729916273113,-0.20635199718547054,1.0446249888127819
Andorra,0.3404763362105602,-0.6763157513389492,1.0167920875495093
Mauritius,0.6281467051776828,-0.31463961809717395,0.9427863232748568
Guyana,0.9532761972535159,0.0552949044304121,0.8979812928231038
South Sudan,0.5658962204561838,-0.32115644690135764,0.8870526673575414
Chad,0.5671833414033222,-0.3192614098111687,0.8864447512144908
Hong Kong,0.6639976680034804,-0.17789979365320066,0.841897461656681
Philippines,0.7303678498151733,-0.03268408905323873,0.763051938868412
Puerto Rico,0.7098964299338013,-0.048092261385128676,0.75798869131893
French Guiana,0.694922068658521,-0.05995428797521514,0.7548763566337362
India,0.23321874492175806,-0.4342113486972755,0.6674300936190336
Cuba,0.6017614801348069,-0.059860036579559635,0.6616215167143665
Singapore,0.6921778213727267,0.13908577930799987,0.5530920420647267
Yorkshire,0.639578375139899,0.08696850349353609,0.5526098716463629
São Tomé and Príncipe,0.6838359386983743,0.1353122597648847,0.5485236789334896
Ynys Môn,0.3527004043152718,-0.18370004085848335,0.5364004451737552
Parishes of Jersey,0.7174539046750004,0.23537282665624448,0.4820810780187559
Somalia,0.11990746597424208,-0.36152754233143564,0.4814350083056777
Jersey,0.7577481119093593,0.31590631452263623,0.4418417973867231
Bermuda,0.8890529775944105,0.45112968147806287,0.4379232961163476
South Ossetia,0.2713980762634396,-0.16035335117629973,0.4317514274397393
Djibouti,0.5958199467765062,0.1818404417024833,0.41397950507402287
Padania,0.5160334268710097,0.10772421490676305,0.4083092119642467
Gibraltar,0.24299326710868302,-0.1345761927618357,0.3775694598705187
Isle of Man,0.8965079789946098,0.5481958752249523,0.3483121037696575
Grenada,0.543845748356543,0.20777892747720897,0.33606682087933404
Saint Vincent and the Grenadines,0.7111066110620269,0.3987918144102162,0.31231479665181067
Eritrea,0.29631314213977683,0.007579170651751178,0.28873397148802565
Luhansk PR,1.2480161456053602,1.008658568035538,0.23935757756982223
Saint Martin,0.6680869559167013,0.4358661625666044,0.23222079335009693
Panjab,0.7052079741869275,0.5126822846398887,0.19252568954703875
Saint Barthélemy,0.8241962443395927,0.6641744751580069,0.16002176918158584
Taiwan,0.5516268796339078,0.3953277248302026,0.15629915480370515
Isle of Wight,0.3626049688266554,0.22418637273741926,0.13841859608923612
Guernsey,0.11443428086328625,0.01262057762132862,0.10181370324195763
New Caledonia,0.32886904337412803,0.22813352145084076,0.10073552192328727
Western Armenia,0.3981989226962334,0.30014977673917165,0.09804914595706177
Ellan Vannin,0.171717954671363,0.07660039398774325,0.09511756068361975
Kárpátalja,0.09497906455028458,0.011125902882632228,0.08385316166765236
Afghanistan,0.0998810332774113,0.02801003773785355,0.07187099553955775
Montserrat,0.33679120950459535,0.3064660464700455,0.03032516303454985
Abkhazia,0,0,0
Bangladesh,0.22946984334989676,0.2340806367535926,-0.0046107934036958564
Saint Lucia,0.34871386462751036,0.38398264173492036,-0.03526877710741
Aruba,0.43378886659555915,0.484083804501656,-0.05029493790609685
Saint Kitts and Nevis,0.39705394987877357,0.47574709139809307,-0.0786931415193195
Belize,0.18229476765834482,0.2651065579840062,-0.08281179032566136
San Marino,0.03794148503799084,0.1500431060579593,-0.11210162101996848
Northern Cyprus,0.24389027604713262,0.386026668664774,-0.14213639261764136
Myanmar,0.29079901444010586,0.4375769821142027,-0.14677796767409684
Cascadia,0.7877053295675992,0.940996950712747,-0.15329162114514783
Nepal,-0.0476295381276791,0.11449259968205328,-0.1621221378097324
Barbados,0.4137986905221462,0.6120870617376173,-0.1982883712154711
Sri Lanka,-0.08394297863451616,0.13311913576987225,-0.2170621144043884
Surrey,0.10286683575434111,0.321122553523557,-0.2182557177692159
Liechtenstein,-0.36449195616868957,-0.14574486106944687,-0.2187470950992427
Shetland,0.47212929390553676,0.7021653061230714,-0.2300360122175346
Cambodia,0.28476795597873494,0.5289961156350995,-0.24422815965636457
Sint Maarten,0.44784145016648114,0.7381826828669474,-0.2903412327004663
Somaliland,1.078177314226638,1.3854266999986484,-0.30724938577201044
Székely Land,0.5186557526612614,0.9029646012213903,-0.3843088485601289
Dominica,0.06926112226019907,0.46340573285838577,-0.39414461059818673
Maldives,-0.011804167443221455,0.4636347367325368,-0.47543890417575824
Laos,0.12998761514717838,0.6228876026383269,-0.4928999874911485
Artsakh,0.14537782765348553,0.6734103504816594,-0.5280325228281739
Kernow,-0.11127405893054622,0.42869676645159766,-0.5399708253821439
Tahiti,-0.08630432006422345,0.4652854129705957,-0.5515897330348192
Bonaire,0.044135792027447926,0.6022190903879682,-0.5580832983605203
Fiji,0.15541242466737873,0.7480342910501769,-0.5926218663827982
Chameria,0.1692620388585134,0.8179864315916987,-0.6487243927331853
Gozo,-0.36899431795979976,0.2803624561538694,-0.6493567741136692
Western Isles,0.1651997440005968,0.8492924661994197,-0.6840927221988229
Antigua and Barbuda,-0.22696845134258323,0.48053472866335645,-0.7075031800059397
Solomon Islands,0.09113015556138145,0.8349800564408066,-0.7438499008794252
Seychelles,-0.24635417175871016,0.5461935274153047,-0.7925476991740148
Papua New Guinea,-0.02924738118753734,0.7713436162382088,-0.8005909974257461
Orkney,-0.09227784629465843,0.7332419365488092,-0.8255197828434676
Vanuatu,0.05147628916670578,0.8988781956138027,-0.8474019064470969
Mongolia,-0.4206334621756959,0.45974082677905387,-0.8803742889547498
Timor-Leste,-0.11675134862582658,0.8220546774157789,-0.9388060260416055
Hitra,0.34628712565182473,1.3048135492954762,-0.9585264236436515
British Virgin Islands,-0.26416671259447494,0.702581963629965,-0.9667486762244399
Cayman Islands,-0.3850664651975678,0.6255955641226855,-1.0106620293202533
United Koreans in Japan,-0.9503155924228973,0.06148059321539594,-1.0117961856382933
Sápmi,-0.01023179817022001,1.0933013331220816,-1.1035331312923016
Menorca,-0.20896042522168579,0.9443384406665771,-1.1532988658882628
Bhutan,-0.38482011727409215,0.8427991094572594,-1.2276192267313517
Pakistan,-0.8590765143194219,0.37631749193942216,-1.235394006258844
Bahamas,-0.1835958441920314,1.1513419493750605,-1.3349377935670919
Brunei,-0.4069945079800624,0.9385783838996826,-1.345572891879745
Guam,-0.5922887232256875,0.8288495030341447,-1.4211382262598322
Chagos Islands,0.13188260504937563,1.5569867297293924,-1.425104124680017
Tamil Eelam,-0.8524861965230972,0.5900656489995815,-1.4425518455226787
Greenland,-0.23408431729162243,1.3204107228562607,-1.5544950401478832
Barawa,-0.08787694761316817,1.4677440900740004,-1.5556210376871686
Biafra,-1.3548570554644486,0.28372862247010444,-1.638585677934553
Alderney,-0.38516531602310905,1.2565484768264084,-1.6417137928495174
United States Virgin Islands,-0.6544170752500804,1.0738795008826514,-1.7282965761327318
Falkland Islands,-0.4668679228945277,1.267222746253847,-1.7340906691483746
Kabylia,-0.5358178682212358,1.4135160195547765,-1.9493338877760122
Turks and Caicos Islands,-0.6222795049751427,1.4097339943413945,-2.032013499316537
Åland Islands,-0.9331798834371375,1.1286376711516954,-2.061817554588833
Matabeleland,-0.7958532829512954,1.3755171930971704,-2.171370476048466
Anguilla,-1.0534507674884637,1.1725290652848461,-2.2259798327733096
Macau,-1.1174938965616898,1.2065861530756663,-2.324080049637356
Samoa,-1.0451189305969117,1.3624790538259353,-2.4075979844228472
Two Sicilies,-1.083021480255187,1.5755249499128954,-2.6585464301680823
Yoruba Nation,-1.1933884597054285,1.5090501060398773,-2.7024385657453056
Frøya,-1.005821347018327,1.699924881282602,-2.705746228300929
Tuvalu,-0.7871687097491928,2.075876719538435,-2.863045429287628
Saint Helena,-1.0196063313247623,1.919321171187952,-2.9389275025127146
East Turkestan,-0.40303946758885806,2.5603041902623564,-2.9633436578512145
Hmong,-0.5400364447694911,2.4768527678825234,-3.0168892126520146
Northern Mariana Islands,-0.7927387882730105,2.2241893290806325,-3.016928117353643
Marshall Islands,-0.783051005932017,2.3628298878494984,-3.1458808937815155
Franconia,-0.36509341619613395,2.8973723036174386,-3.2624657198135725
Tibet,-0.7051191689360193,2.5574881730245655,-3.2626073419605848
Tonga,-0.9858355103682228,2.451701917941309,-3.4375374283095317
Raetia,-1.565514409038867,2.2233864144762503,-3.7889008235151174
Cook Islands,-2.0205865954207507,1.8685768980658606,-3.8891634934866115
Vatican City,-1.2969936280058127,2.730660226759065,-4.027653854764878
West Papua,-1.6208877208664374,2.6184049462929404,-4.239292667159377
American Samoa,-1.5983537638517573,2.701900350027859,-4.300254113879616
Ticino,-1.9450236952678268,3.9813665246672745,-5.926390219935101
Galicia,-10.216443020338684,-0.3701034128951376,-9.846339607443547
Maule Sur,-11.412509788974235,0,-11.412509788974235
Mapuche,-10.313897500306206,11.88450842613454,-22.198405926440746
Aymara,-11.412509788974312,11.884508426134515,-23.297018215108828
